country,year,yhat,lightgbm_pred,hybrid_forecast,energy_yhat,energy_lightgbm_pred,energy_forecast
Germany,2007,851.038783527292,824.9265937805176,837.9826886539048,3894.731918125046,3833.996139526367,3864.3640288257066
Germany,2008,841.2132023490713,824.9265937805176,833.0698980647944,3884.1088903439345,3833.996139526367,3859.0525149351506
Germany,2009,842.1465424628769,824.9265937805176,833.5365681216972,3913.2151006603926,3833.996139526367,3873.60562009338
Germany,2010,830.5138951323514,824.9265937805176,827.7202444564346,3866.4387974173674,3833.996139526367,3850.2174684718675
Germany,2011,819.7782973914672,824.9265937805176,822.3524455859924,3837.7174802964137,3833.996139526367,3835.8568099113904
Germany,2012,809.9527150861128,824.9265937805176,817.4396544333151,3827.0909336712984,3833.996139526367,3830.543536598833
Germany,2013,810.8851251133298,824.9265937805176,817.9058594469236,3856.197140718673,3833.996139526367,3845.09664012252
Germany,2014,799.2441409291544,824.9265937805176,812.085367354836,3809.4208323479684,3833.996139526367,3821.708485937168
Germany,2015,788.4849293811376,824.9265937805176,806.7057615808276,3780.6995116621997,3833.996139526367,3807.3478255942837
Germany,2016,778.6250653940975,824.9265937805176,801.7758295873075,3770.0729125265834,3833.996139526367,3802.0345260264753
Germany,2017,765.0706782650068,824.9265937805176,794.9986360227622,3799.1717295871977,3833.996139526367,3816.5839345567824
Germany,2018,738.9847768899244,824.9265937805176,781.955685335221,3701.0738085322746,3833.996139526367,3767.534974029321
Germany,2019,713.7959251684359,824.9265937805176,769.3612594744768,3621.03087664915,3833.996139526367,3727.5135080877585
Germany,2020,689.5170889164342,824.9265937805176,757.2218413484759,3559.0827142948874,3833.996139526367,3696.5394269106273
Germany,2021,675.9575769755807,824.9265937805176,750.4420853780491,3536.7267015631205,3833.996139526367,3685.361420544744
Germany,2022,649.8716756005076,824.9265937805176,737.3991346905126,3438.62878050819,3833.996139526367,3636.3124600172787
Germany,2023,624.6828238791186,824.9265937805176,724.8047088298181,3358.5858486253956,3833.996139526367,3596.2909940758814
Germany,2024,577.0461879430419,824.9265937805176,700.9863908617797,3252.7909792125765,3833.996139526367,3543.393559369472
India,1993,650.1996524445491,1676.7535572052002,1163.4766048248746,2550.7032583303762,6121.331649780273,4336.017454055325
India,1994,714.1916819590181,1676.7535572052002,1195.472619582109,2770.9986296224415,6121.331649780273,4446.1651397013575
India,1995,757.157490857308,1676.7535572052002,1216.955524031254,2936.3181637724383,6121.331649780273,4528.824906776355
India,1996,779.0925354863394,1676.7535572052002,1227.9230463457698,3046.619380400287,6121.331649780273,4583.97551509028
India,1997,832.4512184558648,1676.7535572052002,1254.6023878305325,3162.649523053972,6121.331649780273,4641.990586417123
India,1998,896.4432479797409,1676.7535572052002,1286.5984025924706,3382.9448944548385,6121.331649780273,4752.138272117556
India,1999,939.4090568917456,1676.7535572052002,1308.0813070484728,3548.264428773803,6121.331649780273,4834.798039277039
India,2000,961.3441015422347,1676.7535572052002,1319.0488293737176,3658.5656458005133,6121.331649780273,4889.948647790394
India,2001,1014.7027845636293,1676.7535572052002,1345.7281708844148,3774.5957889693645,6121.331649780273,4947.9637193748185
India,2002,1078.703159652469,1676.7535572052002,1377.7283584288346,3994.918938583214,6121.331649780273,5058.125294181744
India,2003,1121.69535249833,1676.7535572052002,1399.2244548517651,4160.462346431261,6121.331649780273,5140.896998105767
India,2004,1143.6940807113813,1676.7535572052002,1410.2238189582908,4385.3271359361215,6121.331649780273,5253.329392858197
India,2005,1217.739259294635,1676.7535572052002,1447.2464082499177,4616.578070281954,6121.331649780273,5368.954860031114
India,2006,1332.292670816993,1676.7535572052002,1504.5231140110966,4952.137924580549,6121.331649780273,5536.734787180411
India,2007,1425.8317326375943,1676.7535572052002,1551.2926449213974,5292.523602105544,6121.331649780273,5706.927625942909
India,2008,1498.3928375208654,1676.7535572052002,1587.5731973630327,5578.0098711016135,6121.331649780273,5849.670760440944
India,2009,1602.520953375045,1676.7535572052002,1639.6372552901225,5869.7533064883555,6121.331649780273,5995.5424781343145
India,2010,1717.144425849177,1676.7535572052002,1696.9489915271886,6265.325349808593,6121.331649780273,6193.328499794434
India,2011,1810.7416777164458,1676.7535572052002,1743.747617460823,6605.939816148543,6121.331649780273,6363.635732964409
India,2012,1883.308165324571,1676.7535572052002,1780.0308612648855,6891.536569970771,6121.331649780273,6506.434109875522
India,2013,1987.437007552004,1676.7535572052002,1832.095282378602,7183.429928747966,6121.331649780273,6652.38078926412
India,2014,2102.0604800538995,1676.7535572052002,1889.4070186295498,7579.125543040905,6121.331649780273,6850.228596410589
India,2015,2195.6577319410744,1676.7535572052002,1936.2056445731373,7919.867555314778,6121.331649780273,7020.599602547525
India,2016,2268.2242195397685,1676.7535572052002,1972.4888883724843,8205.605644569428,6121.331649780273,7163.468647174851
India,2017,2372.353061740052,1676.7535572052002,2024.553309472626,8497.612325415183,6121.331649780273,7309.471987597728
India,2018,2486.9765342145524,1676.7535572052002,2081.8650457098765,8893.451209119368,6121.331649780273,7507.391429449821
India,2019,2580.5737860701242,1676.7535572052002,2128.6636716376624,9234.314255463923,6121.331649780273,7677.8229526220985
India,2020,2653.140273652054,1676.7535572052002,2164.946915428627,9520.15898431934,6121.331649780273,7820.7453170498065
India,2021,2757.2691158487833,1676.7535572052002,2217.0113365269917,9812.21358017941,6121.331649780273,7966.772614979842
India,2022,2871.892588323227,1676.7535572052002,2274.3230727642135,10208.05246388355,6121.331649780273,8164.692056831912
India,2023,2965.4898401786504,1676.7535572052002,2321.1216986919253,10548.915510227576,6121.331649780273,8335.123580003925
India,2024,3089.623995704279,1676.7535572052002,2383.1887764547396,11065.63930220461,6121.331649780273,8593.485475992442
Indonesia,1993,193.19999485279266,434.9149670600891,314.0574809564409,724.4204107586554,1647.3876876831055,1185.9040492208806
Indonesia,1994,217.76665687234595,434.9149670600891,326.34081196621753,823.239933270128,1647.3876876831055,1235.3138104766167
Indonesia,1995,233.38603954401282,434.9149670600891,334.150503302051,894.8438170287338,1647.3876876831055,1271.1157523559195
Indonesia,1996,240.05051377631554,434.9149670600891,337.4827404182023,939.2106507483038,1647.3876876831055,1293.2991692157048
Indonesia,1997,245.62048474461278,434.9149670600891,340.26772590235095,944.6488355626299,1647.3876876831055,1296.0182616228676
Indonesia,1998,270.1871467163526,434.9149670600891,352.55105688822084,1043.468357247224,1647.3876876831055,1345.4280224651648
Indonesia,1999,285.8065294103449,434.9149670600891,360.360748235217,1115.072240400978,1647.3876876831055,1381.2299640420417
Indonesia,2000,292.47100348357463,434.9149670600891,363.69298527183184,1159.43907362265,1647.3876876831055,1403.4133806528778
Indonesia,2001,298.04097436939236,434.9149670600891,366.47797071474076,1164.8772581271332,1647.3876876831055,1406.1324729051194
Indonesia,2002,322.60763647709626,434.9149670600891,378.7613017685927,1263.6967799345512,1647.3876876831055,1455.5422338088283
Indonesia,2003,338.23433646985944,434.9149670600891,386.5746517649743,1335.300662982639,1647.3876876831055,1491.3441753328723
Indonesia,2004,344.9116253996906,434.9149670600891,389.91329622988985,1379.6674961315398,1647.3876876831055,1513.5275919073226
Indonesia,2005,350.49875411014045,434.9149670600891,392.7068605851148,1385.1056806743252,1647.3876876831055,1516.2466841787154
Indonesia,2006,375.0856178045145,434.9149670600891,405.0002924323018,1483.925202706811,1647.3876876831055,1565.6564451949582
Indonesia,2007,390.73831677596905,434.9149670600891,412.82664191802905,1555.5290862716874,1647.3876876831055,1601.4583869773965
Indonesia,2008,398.05148915846246,434.9149670600891,416.4832281092758,1599.8959197222423,1647.3876876831055,1623.6418037026738
Indonesia,2009,410.6461210333885,434.9149670600891,422.7805440467388,1605.3341048704285,1647.3876876831055,1626.360896276767
Indonesia,2010,442.2346344431819,434.9149670600891,438.5748007516355,1704.1536277474581,1647.3876876831055,1675.7706577152817
Indonesia,2011,464.89365416277,434.9149670600891,449.90431061142954,1775.7575256202547,1647.3876876831055,1711.57260665168
Indonesia,2012,478.5983263096319,434.9149670600891,456.75664668486047,1820.152459710962,1647.3876876831055,1733.7700736970337
Indonesia,2013,491.22844110339724,434.9149670600891,463.0717040817432,1825.6188472957444,1647.3876876831055,1736.503267489425
Indonesia,2014,522.8370212822168,434.9149670600891,478.87599417115297,1924.4987018696995,1647.3876876831055,1785.9431947764024
Indonesia,2015,545.5016278233377,434.9149670600891,490.2082974417134,1996.1854283553023,1647.3876876831055,1821.7865580192038
Indonesia,2016,559.213590387969,434.9149670600891,497.06427872402907,2040.742922630228,1647.3876876831055,1844.0653051566667
Indonesia,2017,571.8518388180362,434.9149670600891,503.38340293906265,2073.7510841709322,1647.3876876831055,1860.5693859270189
Indonesia,2018,603.4741018603852,434.9149670600891,519.1945344602372,2200.146936094289,1647.3876876831055,1923.7673118886971
Indonesia,2019,626.1490856355099,434.9149670600891,530.5320263477995,2299.327149534674,1647.3876876831055,1973.3574186088897
Indonesia,2020,639.8691608538963,434.9149670600891,537.3920639569927,2371.270312919191,1647.3876876831055,2009.3290003011482
Indonesia,2021,652.5140632931634,434.9149670600891,543.7145151766263,2404.3603792749204,1647.3876876831055,2025.874033479013
Indonesia,2022,684.1363263355072,434.9149670600891,559.5256466977982,2530.756231198351,1647.3876876831055,2089.0719594407283
Indonesia,2023,706.8113101105434,434.9149670600891,570.8631385853163,2629.9364446385407,1647.3876876831055,2138.662066160823
Indonesia,2024,725.3044879281179,434.9149670600891,580.1097274941035,2746.611590971346,1647.3876876831055,2196.999639327226
Iran,1993,228.35841590656062,528.9118447303772,378.6351303184689,864.2946794051163,2266.8289318084717,1565.561805606794
Iran,1994,251.31550506095493,528.9118447303772,390.11367489566607,960.3796154781954,2266.8289318084717,1613.6042736433335
Iran,1995,269.97388133744585,528.9118447303772,399.4428630339115,1046.027817371544,2266.8289318084717,1656.428374590008
Iran,1996,284.331755729184,528.9118447303772,406.6218002297806,1121.248083498812,2266.8289318084717,1694.0385076536418
Iran,1997,305.6487015184713,528.9118447303772,417.28027312442424,1197.9312911336947,2266.8289318084717,1732.3801114710832
Iran,1998,328.6063653739531,528.9118447303772,428.7591050521652,1294.016568305207,2266.8289318084717,1780.4227500568395
Iran,1999,347.2653163431893,528.9118447303772,438.08858053678324,1379.7023192758081,2266.8289318084717,1823.2656255421398
Iran,2000,361.62376533947065,528.9118447303772,445.2678050349239,1454.9932866020522,2266.8289318084717,1860.911109205262
Iran,2001,382.94071594742235,528.9118447303772,455.9262803388998,1531.9269664312735,2266.8289318084717,1899.3779491198725
Iran,2002,405.89837984251307,528.9118447303772,467.40511228644516,1645.4360344597226,2266.8289318084717,1956.1324831340971
Iran,2003,424.55733077490225,528.9118447303772,476.73458775263975,1748.536010420316,2266.8289318084717,2007.6824711143938
Iran,2004,438.9157796993011,528.9118447303772,483.91381221483914,1841.2080507429841,2266.8289318084717,2054.0184912757277
Iran,2005,460.2326990533569,528.9118447303772,494.57227189186705,1935.3908456777476,2266.8289318084717,2101.10988874311
Iran,2006,483.186402070614,528.9118447303772,506.0491234004956,2048.927555473801,2266.8289318084717,2157.8782436411366
Iran,2007,501.83595225965735,528.9118447303772,515.3738984950173,2152.024156841161,2266.8289318084717,2209.4265443248164
Iran,2008,516.1801661206147,528.9118447303772,522.5460054254959,2244.5991240252615,2266.8289318084717,2255.7140279168666
Iran,2009,537.4821410294866,528.9118447303772,533.1969928799319,2338.622522016506,2266.8289318084717,2302.725726912489
Iran,2010,560.4179453892922,528.9118447303772,544.6648950598346,2438.952513255613,2266.8289318084717,2352.8907225320427
Iran,2011,579.0550367378838,528.9118447303772,553.9834407341305,2528.8277090465735,2266.8289318084717,2397.8283204275226
Iran,2012,593.3916262191868,528.9118447303772,561.1517354747821,2608.2739561372023,2266.8289318084717,2437.5514439728368
Iran,2013,614.6866573548035,528.9118447303772,571.7992510425904,2689.1947228433783,2266.8289318084717,2478.011827325925
Iran,2014,637.6224616727595,528.9118447303772,583.2671532015684,2789.5056399928762,2266.8289318084717,2528.167285900674
Iran,2015,656.2595530507651,528.9118447303772,592.5856988905712,2879.3798229318527,2266.8289318084717,2573.104377370162
Iran,2016,670.5961425404948,528.9118447303772,599.753993635436,2958.826069935747,2266.8289318084717,2612.8275008721093
Iran,2017,691.894782754778,528.9118447303772,610.4033137425777,3039.746836481757,2266.8289318084717,2653.2878841451143
Iran,2018,714.834186375318,528.9118447303772,621.8730155528476,3140.0577535254306,2266.8289318084717,2703.443342666951
Iran,2019,733.474877031095,528.9118447303772,631.1933608807361,3229.931936457924,2266.8289318084717,2748.380434133198
Iran,2020,747.8150657851908,528.9118447303772,638.3634552577839,3309.3781834725914,2266.8289318084717,2788.1035576405316
Iran,2021,769.1137061277368,528.9118447303772,649.012775429057,3390.2989501188767,2266.8289318084717,2828.563940963674
Iran,2022,792.0531097482619,528.9118447303772,660.4824772393196,3490.609867162588,2266.8289318084717,2878.7193994855297
Iran,2023,810.6938004039998,528.9118447303772,669.8028225671885,3580.4840500951323,2266.8289318084717,2923.656490951802
Iran,2024,835.0793137277858,528.9118447303772,681.9955792290815,3728.9752931398425,2266.8289318084717,2997.902112474157
Japan,1993,1218.590000349242,1204.311679840088,1211.450840094665,5742.518984335998,5706.120147705078,5724.319566020538
Japan,1994,1227.8616429076556,1204.311679840088,1216.0866613738717,5839.266721007862,5706.120147705078,5772.69343435647
Japan,1995,1235.350763328602,1204.311679840088,1219.8312215843448,5902.835851627804,5706.120147705078,5804.477999666441
Japan,1996,1241.0490772116643,1204.311679840088,1222.6803785258762,5933.236831992477,5706.120147705078,5819.678489848778
Japan,1997,1231.9322996170163,1204.311679840088,1218.121989728552,5969.635100812467,5706.120147705078,5837.877624258772
Japan,1998,1241.2039421336947,1204.311679840088,1222.7578109868914,6066.327760694805,5706.120147705078,5886.2239541999415
Japan,1999,1248.693062488124,1204.311679840088,1226.502371164106,6129.811900630818,5706.120147705078,5917.9660241679485
Japan,2000,1254.391376263904,1204.311679840088,1229.351528051996,6160.07659100938,5706.120147705078,5933.098369357229
Japan,2001,1245.2739357648782,1204.311679840088,1224.792807802483,6157.300331258255,5706.120147705078,5931.710239481667
Japan,2002,1254.5420017311187,1204.311679840088,1229.4268407856034,6214.97252872532,5706.120147705078,5960.546338215199
Japan,2003,1262.015928876198,1204.311679840088,1233.163804358143,6239.432221308956,5706.120147705078,5972.776184507017
Japan,2004,1267.6887000879651,1204.311679840088,1236.0001899640265,6230.604768338768,5706.120147705078,5968.362458021923
Japan,2005,1255.4824398833211,1204.311679840088,1229.8970598617045,6227.512444864719,5706.120147705078,5966.816296284898
Japan,2006,1261.6647031777186,1204.311679840088,1232.9881915089031,6188.596750795815,5706.120147705078,5947.358449250447
Japan,2007,1266.062423534183,1204.311679840088,1235.1870516871354,6116.118822103664,5706.120147705078,5911.119484904371
